Privacy,Folder,ContractType
Private,Closeout/Defects Review,Common
Private,Closeout/Defects,Common
Private,Closeout/Outstanding Items before PC,Common
Private,Closeout/Specified Records,Common
Private,Closeout/Specified Records/SR1000 Pavement Condition Performance Criteria,Common
Private,Closeout/Specified Records/SR1100 Settlement and Movement Data,Common
Private,Closeout/Specified Records/SR1200 Pit Rehabilitation Performance Report,Common
Private,Closeout/Specified Records/SR1300 Remedial Work,Common
Private,Closeout/Specified Records/SR1400 Soil Erosion Monitoring Data,Common
Private,Closeout/Specified Records/SR1500 Survey Data including Cadastral Data,Common
Private,Closeout/Specified Records/SR1600 Load Rating of Structures,Common
Private,Closeout/Specified Records/SR1700 Asset Management Plan for Structures,Common
Private,Closeout/Specified Records/SR1800 Approvals for Drainage Design,Common
Private,Closeout/Specified Records/SR1900 Approvals for Subsoil Drainage Design,Common
Private,Closeout/Specified Records/SR2000 Approvals for Signs and Pavement Markings,Common
Private,Closeout/Specified Records/SR2100 Sign Warranties,Common
Private,Closeout/Specified Records/SR2200 Road Safety Audits,Common
Private,Closeout/Specified Records/SR2300 Landscaping and Revegetation Handover Report,Common
Private,Closeout/Specified Records/SR2400 Noise Impact Report,Common
Private,Closeout/Specified Records/SR2500 Location of Electrical Meters,Common
Private,Closeout/Specified Records/SR2600 Acceptance of lighting from the LGA and Western Power,Common
Private,Closeout/Specified Records/SR2700 Approvals for Traffic Control Signals,Common
Private,Closeout/Specified Records/SR2800 Approvals for Works in the Vicinity of Services,Common
Private,Closeout/Specified Records/SR2900 Acceptance of works from the LGA,Common
Private,Closeout/Specified Records/SR3000 Acceptance of modified property access,Common
Private,Closeout/Specified Records/SR3100 Acceptance of Retaining Walls,Common
Private,Closeout/Specified Records/SR3200 Approvals to Operate Vehicles with Excess Mass,Common
Private,Closeout/Specified Records/SR3300 Approvals for use of Construction Water,Common
Private,Closeout/Specified Records/SR3400 Maintenance reports,Common
Private,Closeout/Specified Records/SR3500 As-constructed Information,Common
Private,Closeout/Specified Records/SR3500 As-constructed Information/SR3501 Future stage drawings,Common
Private,Closeout/Specified Records/SR3500 As-constructed Information/SR3502 As constructed drawings,Common
Private,Closeout/Specified Records/SR3500 As-constructed Information/SR3503 Electrical asset drawings,Common
Private,Closeout/Specified Records/SR3500 As-constructed Information/SR3504 Project Plans,Common
Private,Closeout/Specified Records/SR3500 As-constructed Information/SR3505 Survey data,Common
Private,Closeout/Specified Records/SR3500 As-constructed Information/SR3506 Structural design models used in analysis,Common
Private,Closeout/Specified Records/SR3500 As-constructed Information/SR3507 Survey control,Common
Private,Closeout/Specified Records/SR3500 As-constructed Information/SR3508 Specifications,Common
Private,Closeout/Specified Records/SR3500 As-constructed Information/SR3509 Method statements,Common
Private,Closeout/Specified Records/SR3500 As-constructed Information/SR3510 MX design models,Common
Private,Closeout/Specified Records/SR3500 As-constructed Information/SR3511 Final design reports,Common
Private,Closeout/Specified Records/SR3500 As-constructed Information/SR3512 Database of drawings,Common
Private,Closeout/Specified Records/SR3500 As-constructed Information/SR3513 Equipment certification reports,Common
Private,Closeout/Specified Records/SR3500 As-constructed Information/SR3514 Instrument certification reports,Common
Private,Closeout/Specified Records/SR3500 As-constructed Information/SR3515 Drainage design calculations,Common
